,Symbol,LTP,% Change,Open,High,Low,Qty.
307,ACLBSL,"1,103.10",-1.86,"1,138.90","1,101.20","1,115.00","2,414"
308,ADBL,349.00,-0.85,352.10,348.00,350.20,"35,035"
309,AHL,741.00,-4.39,777.00,740.30,762.10,"10,166"
310,AHPC,271.00,-1.53,280.00,269.70,269.70,"194,304"
311,AKJCL,217.00,-3.04,227.00,216.00,219.50,"487,617"
312,AKPL,257.00,0,257.50,250.80,253.30,"156,701"
313,ALBSL,867.00,-0.9,876.00,855.00,861.00,"5,031"
314,ALICL,748.00,-1.7,761.90,745.40,747.00,"30,084"
315,ANLB,"5,090.00",1.45,"5,100.00","4,857.90","5,017.10","3,643"
316,API,279.00,-1.41,285.00,278.40,280.10,"196,864"
317,AVYAN,"1,138.00",3.45,"1,180.00","1,080.10","1,122.00","46,319"
318,BARUN,439.00,-2.01,453.00,435.20,452.00,"103,154"
319,BBC,"6,630.00",4.05,"6,899.00","6,160.00","6,372.00","7,545"
320,BEDC,580.00,0.89,596.70,566.00,566.00,"47,867"
321,BFC,773.60,-2.08,805.00,773.50,805.00,"161,862"
322,BGWT,995.00,-2.26,"1,020.00",980.00,"1,020.00","5,168"
323,BHDC,649.00,-3.13,672.00,649.00,659.00,"15,524"
324,BHL,374.50,-3.45,389.00,373.40,389.00,"13,011"
325,BHPL,786.00,-2.84,829.80,785.00,800.00,"11,794"
326,BNHC,515.10,-0.56,520.50,515.00,516.00,"17,113"
327,BNL,"16,370.00",-1.39,"16,700.00","16,370.00","16,700.00",32
328,BNT,"14,250.00",0,"14,535.00","14,250.00","14,250.20",184
329,BOKD86,"1,024.00",-1.06,"1,024.00","1,024.00","1,024.00",25
330,BPCL,442.50,-0.78,453.80,440.20,453.50,"21,713"
331,C30MF,9.60,-0.31,9.60,9.44,9.44,"21,100"
332,CBBL,950.00,-0.63,956.00,946.00,956.00,"19,791"
333,CBLD88,"1,111.00",0,"1,111.00","1,111.00","1,111.00",50
334,CCBD88,"1,122.00",-3.48,"1,140.00","1,118.00","1,140.00",100
335,CFCL,669.00,-3.04,703.80,665.00,703.80,"67,078"
336,CGH,935.30,-1.86,965.00,935.00,955.00,"36,805"
337,CHCL,572.60,-1.94,582.00,572.00,578.00,"36,194"
338,CHDC,"1,710.00",1.48,"1,727.00","1,690.00","1,698.00","71,500"
339,CHL,411.00,-2.61,426.00,411.00,414.00,"49,810"
340,CIT,"2,199.00",-0.14,"2,206.00","2,125.00","2,200.00","13,699"
341,CITY,921.00,-2.85,952.80,920.10,935.00,"15,208"
342,CIZBD90,"1,150.00",0.88,"1,150.00","1,144.90","1,144.90",125
343,CKHL,701.00,-1.83,714.00,695.00,712.00,"6,157"
344,CLI,706.20,-1.92,725.00,705.00,720.00,"79,482"
345,CMF1,10.73,-0.65,10.93,10.72,10.93,"6,600"
346,CMF2,9.47,-1.46,9.47,9.47,9.47,600
347,CORBL,"1,699.30",-0.04,"1,720.00","1,637.00","1,670.00","8,137"
348,CYCL,"1,693.00",-0.99,"1,744.20","1,670.90","1,744.20","6,583"
349,CZBIL,223.70,-0.13,226.00,222.20,226.00,"32,968"
350,DDBL,875.00,-2.23,900.00,871.00,890.00,"7,543"
351,DHPL,337.00,2.12,350.00,311.30,324.00,"151,343"
352,DLBS,"1,655.50",-1.46,"1,684.00","1,650.10","1,670.00","4,556"
353,DOLTI,604.00,-3.51,630.40,603.00,620.00,"40,069"
354,DORDI,546.70,4.71,561.00,512.20,512.20,"138,479"
355,EBL,594.00,-2.14,601.00,591.00,601.00,"42,910"
356,EBLD86,"1,047.50",2.1,"1,047.50","1,027.00","1,030.00",225
357,EDBL,699.00,0.65,716.00,693.00,694.70,"124,995"
358,EHPL,752.50,-1.88,774.80,752.00,774.00,"7,447"
359,ENL,"1,230.00",-2.23,"1,279.00","1,225.00","1,236.10","4,357"
360,FMDBL,797.00,-0.87,813.00,789.10,789.10,"67,675"
361,FOWAD,"1,339.00",-1.19,"1,345.00","1,305.50","1,340.00","4,228"
362,GBBD85,"1,032.30",0.13,"1,032.30","1,032.10","1,032.10",40
363,GBBL,446.00,-0.67,454.90,445.10,454.90,"44,952"
364,GBIME,225.80,-1.05,230.00,225.40,228.30,"137,659"
365,GBLBS,800.10,-1.54,828.80,800.10,828.80,"7,986"
366,GCIL,477.00,-1.24,487.00,476.00,481.00,"23,753"
367,GFCL,867.00,-3.77,919.00,852.00,919.00,"77,078"
368,GHL,225.00,-2.3,234.80,224.00,234.80,"118,793"
369,GIBF1,10.23,-0.2,10.27,10.21,10.21,"54,070"
370,GILB,"1,291.00",-1.22,"1,324.90","1,285.00","1,324.90","1,357"
371,GLBSL,"2,280.00",-6.52,"2,470.00","2,270.10","2,439.00","12,822"
372,GLH,259.00,-2.26,270.30,257.00,270.30,"41,551"
373,GMFBS,"1,745.00",-0.85,"1,859.90","1,726.00","1,750.00","4,670"
374,GMFIL,655.00,-1.21,669.90,653.00,660.00,"36,401"
375,GRDBL,"1,039.00",-3.35,"1,084.90","1,039.00","1,070.00","22,306"
376,GUFL,745.00,-2.36,778.00,733.30,778.00,"57,289"
377,GVL,568.00,-1.9,575.00,560.30,575.00,"9,988"
378,H8020,10.40,0.29,10.44,10.20,10.28,"35,161"
379,HATHY,"1,429.00",-2.79,"1,485.00","1,422.00","1,485.00","19,344"
380,HBL,250.00,0,254.00,245.00,245.00,"55,975"
381,HDHPC,212.00,-1.85,217.90,211.80,217.00,"176,101"
382,HDL,"1,309.00",-0.61,"1,327.70","1,307.00","1,320.00","40,780"
383,HEI,661.10,-1.37,677.00,660.20,662.00,"16,500"
384,HEIP,513.00,-4.82,538.80,512.00,528.30,"8,746"
385,HHL,510.00,-2.86,525.00,509.60,521.00,"37,922"
386,HIDCL,254.00,-1.78,260.00,253.20,258.00,"144,582"
387,HIDCLP,169.00,-1.52,172.00,168.60,171.50,"213,223"
388,HLBSL,969.00,-1.52,"1,000.00",964.00,"1,000.00","5,721"
389,HLI,468.90,-0.87,477.00,468.00,473.00,"61,929"
390,HPPL,416.00,-0.48,426.30,409.00,426.30,"79,420"
391,HRL,833.00,-0.95,848.00,830.00,841.10,"137,241"
392,HURJA,249.00,-2.35,258.10,247.70,256.00,"226,474"
393,ICFC,738.00,-1.99,760.00,734.00,753.00,"56,214"
394,ICFCD83,"1,300.00",0.7,"1,305.00","1,291.00","1,291.00",97
395,IGI,606.00,-1.51,619.80,605.10,615.30,"26,388"
396,IHL,682.10,-5.33,723.00,668.00,723.00,"51,535"
397,ILBS,"1,026.90",-0.78,"1,035.00","1,015.10","1,035.00","5,102"
398,ILI,486.00,-1.62,499.00,485.50,494.00,"23,779"
399,JBBD87,"1,059.10",0.01,"1,059.10","1,059.10","1,059.10",25
400,JBBL,392.00,-0.38,404.00,388.00,400.00,"202,190"
401,JBLB,"1,568.00",-1.45,"1,605.00","1,568.00","1,581.00","4,511"
402,JFL,925.00,-0.42,968.60,878.00,910.40,"153,492"
403,JOSHI,475.00,5.16,490.00,447.00,460.70,"296,709"
404,JSLBB,"1,638.00",-3.19,"1,707.00","1,613.00","1,705.00","1,951"
405,KBL,221.00,-1.07,227.80,220.00,227.80,"154,089"
406,KBLD86,"1,183.60",-0.12,"1,257.40","1,208.70","1,208.70",335
407,KBLD89,"1,250.00",-0.08,"1,250.00","1,250.00","1,250.00",49
408,KBSH,"2,650.00",0,"2,705.00","2,600.00","2,600.00","1,338"
409,KDBY,9.75,2.85,9.79,9.50,9.60,"23,300"
410,KDL,"1,128.00",-3.76,"1,169.00","1,120.00","1,161.00","12,481"
411,KEF,9.25,2.78,9.25,9.00,9.00,"25,762"
412,KKHC,428.80,9.98,428.80,391.00,397.60,"316,522"
413,KMCDB,"1,119.00",0.81,"1,132.00","1,110.00","1,132.00","6,728"
414,KPCL,550.00,-2.83,571.20,549.00,555.00,"39,191"
415,KRBL,811.00,0.62,824.90,796.20,796.30,"65,697"
416,KSBBL,479.00,-1.44,490.00,476.50,490.00,"54,126"
417,KSY,9.28,1.98,9.28,9.00,9.01,400
418,LBBL,509.00,-2.86,540.00,507.00,513.60,"109,448"
419,LBBLD89,"1,240.00",1.64,"1,240.00","1,222.10","1,222.10",125
420,LEC,217.80,-2.55,223.00,217.30,223.00,"59,062"
421,LICN,"1,555.00",7.99,"1,555.00","1,296.00","1,411.20","153,525"
422,LLBS,"1,206.00",1.17,"1,239.30","1,205.20","1,210.00","10,038"
423,LSL,242.90,-1.26,246.00,240.20,246.00,"104,483"
424,LUK,9.80,0,9.80,9.72,9.72,"3,960"
425,LVF2,9.41,0.21,9.60,9.25,9.25,"114,400"
426,MAKAR,648.00,-2.99,668.00,647.00,668.00,"29,155"
427,MANDU,920.40,-3.52,960.00,920.00,950.10,"10,395"
428,MATRI,"1,315.00",-1.57,"1,337.00","1,315.00","1,337.00","3,071"
429,MBJC,370.10,-1.83,381.80,367.10,375.00,"83,257"
430,MBL,252.20,-1.1,255.80,250.30,255.00,"30,287"
431,MCHL,575.00,-1.07,592.80,573.00,592.00,"9,898"
432,MDB,755.00,-1.05,781.00,755.00,762.00,"122,006"
433,MEHL,443.00,-2.85,461.00,442.00,456.50,"67,205"
434,MEL,324.00,-1.82,342.00,323.00,335.00,"75,137"
435,MEN,728.60,-1.07,740.00,721.90,721.90,"36,567"
436,MERO,760.00,-0.01,768.00,750.00,760.00,"5,238"
437,MFIL,732.00,-1.6,753.90,730.00,745.20,"33,599"
438,MHCL,508.00,2.63,508.00,482.00,493.10,"73,529"
439,MHL,938.00,3.53,938.00,869.00,920.00,"27,997"
440,MHNL,281.80,-3.23,292.00,281.00,286.00,"24,627"
441,MKCL,"1,575.00",-1.56,"1,629.90","1,568.00","1,605.00","7,693"
442,MKHC,490.00,0.62,513.50,483.10,487.00,"59,439"
443,MKHL,630.00,2.19,637.50,616.00,616.00,"49,225"
444,MKJC,550.00,-2.65,575.00,546.00,575.00,"48,170"
445,MLBBL,"1,664.90",-1.78,"1,690.00","1,640.30","1,662.00","9,700"
446,MLBL,425.00,0.47,428.00,416.20,420.10,"119,589"
447,MLBS,"2,500.00",8.55,"2,530.00","2,230.00","2,257.00","13,587"
448,MLBSL,"2,310.00",-1.49,"2,340.00","2,304.00","2,325.00","3,226"
449,MMF1,9.20,-0.33,9.55,9.06,9.40,"36,333"
450,MMKJL,690.00,-3.85,723.00,680.00,704.00,"42,886"
451,MNBBL,399.00,-1.29,404.00,398.10,403.90,"82,180"
452,MPFL,757.00,-2.34,786.90,745.00,786.90,"32,458"
453,MSHL,980.00,-1.9,990.00,961.40,981.00,"5,476"
454,MSLB,"1,689.00",0.18,"1,700.00","1,666.00","1,696.00","3,409"
455,NABBC,"1,234.20",-0.87,"1,293.90","1,172.00","1,220.10","44,959"
456,NABIL,525.00,-0.94,540.60,523.00,540.60,"61,452"
457,NADEP,981.00,-1.31,"1,000.00",980.20,980.20,"1,922"
458,NBF2,9.55,0,9.66,9.48,9.61,"55,341"
459,NBF3,9.50,-2.56,9.70,9.46,9.70,"29,045"
460,NBL,275.00,-0.9,278.00,275.00,277.50,"51,524"
461,NBLD85,"1,030.00",-0.48,"1,030.00","1,030.00","1,030.00",50
462,NBLD87,"1,033.00",-0.67,"1,033.00","1,033.00","1,033.00",25
463,NCCD86,"1,166.80",6.07,"1,100.00","1,100.00","1,100.00",15
464,NESDO,"2,289.00",-0.9,"2,350.00","2,270.00","2,300.00","2,159"
465,NFS,"1,155.00",-7.15,"1,254.50","1,132.00","1,244.00","359,392"
466,NGPL,296.00,-3.27,312.00,295.10,312.00,"259,577"
467,NHDL,749.00,-0.45,773.00,743.00,767.40,"28,044"
468,NHPC,234.90,-2.93,246.70,233.00,237.20,"258,757"
469,NIBD84,"1,067.00",1.96,"1,067.00","1,045.00","1,045.00",115
470,NIBLGF,9.09,1,9.22,8.87,9.00,"9,000"
471,NIBLSTF,9.07,1.34,9.07,8.90,9.00,"12,680"
472,NIBSF2,8.81,-0.9,8.82,8.74,8.82,"2,300"
473,NICA,409.90,-1.28,415.00,406.00,406.90,"155,704"
474,NICAD8182,"1,035.60",0,"1,035.60","1,035.60","1,035.60",150
475,NICBF,9.51,-1.86,9.51,9.50,9.50,"1,100"
476,NICD88,"1,030.00",-0.29,"1,030.00","1,030.00","1,030.00",25
477,NICFC,9.40,-1.16,9.55,9.37,9.37,"32,800"
478,NICGF,10.91,-0.46,11.00,10.91,11.00,"47,650"
479,NICGF2,9.11,-1.51,9.11,8.91,9.08,"72,300"
480,NICL,"1,000.00",-0.99,"1,010.00",995.20,999.00,"10,219"
481,NICLBSL,702.40,-1.49,715.00,700.00,705.00,"8,250"
482,NICSF,9.57,0.74,9.57,9.39,9.39,"77,350"
483,NIFRA,262.50,-0.94,267.50,261.20,264.10,"119,216"
484,NIFRAUR85/86,985.00,0,985.00,985.00,985.00,30
485,NIL,945.00,-0.63,966.00,945.00,950.00,"11,928"
486,NIMB,222.80,-0.98,225.00,222.00,225.00,"90,104"
487,NLG,905.00,-0.55,919.90,895.10,895.10,"23,028"
488,NLIC,807.00,-0.37,824.90,802.00,824.90,"37,055"
489,NLICL,600.00,0.17,605.00,595.00,595.10,"16,263"
490,NMB,250.20,-1.11,254.00,248.10,248.10,"51,189"
491,NMB50,10.61,-1.76,10.70,10.61,10.61,"1,100"
492,NMBMF,722.00,-1.1,730.00,719.00,719.00,"2,852"
493,NMFBS,"1,370.00",-1.93,"1,420.00","1,369.10","1,410.00","8,594"
494,NMLBBL,699.90,-1.42,715.00,698.10,712.00,"10,528"
495,NRIC,779.00,-0.13,797.00,775.00,785.00,"25,061"
496,NRM,460.00,-2.11,470.00,451.10,462.00,"33,713"
497,NRN,"1,115.00",-0.71,"1,139.00","1,090.10","1,101.00","260,140"
498,NSIF2,10.61,-2.12,10.70,10.60,10.63,"300,500"
499,NTC,956.10,-0.3,969.00,955.00,959.00,"18,638"
500,NUBL,692.00,-2.38,710.00,691.00,710.00,"10,659"
501,NWCL,"1,018.00",-1.55,"1,040.00","1,015.30","1,015.30","9,518"
502,NYADI,340.10,-3.38,352.00,340.10,345.10,"7,358"
503,OHL,965.00,-3.69,982.00,950.00,982.00,"9,048"
504,PBLD84,"1,100.60",0.97,"1,100.60","1,100.60","1,100.60",100
505,PCBL,259.00,-0.38,262.00,257.10,262.00,"69,962"
506,PFL,669.00,-3.75,700.00,662.00,696.00,"82,112"
507,PHCL,570.00,-0.52,580.00,559.20,580.00,"132,577"
508,PMHPL,291.00,-4.28,308.00,291.00,308.00,"30,545"
509,PMLI,558.00,-1.22,570.00,556.30,560.00,"11,861"
510,PPCL,302.00,-1.34,319.20,301.50,304.00,"88,655"
511,PPL,535.20,-2.71,560.00,535.00,554.00,"35,382"
512,PRIN,993.60,-1.03,"1,022.90",990.00,"1,014.90","19,578"
513,PROFL,687.00,-3.24,715.00,680.00,711.00,"73,900"
514,PRSF,10.34,0.58,10.34,10.09,10.09,"71,500"
515,PRVU,230.40,-0.17,234.00,229.40,231.00,"94,745"
516,PSF,10.25,-0.49,10.30,10.11,10.20,"108,322"
517,RADHI,400.00,-1.72,415.00,396.00,399.00,"85,306"
518,RAWA,854.00,1.24,896.00,811.00,827.00,"26,567"
519,RBCL,"17,900.00",4.07,"18,409.00","17,500.00","17,544.00","3,324"
520,RBCLPO,"13,000.00",3.32,"13,500.00","12,829.00","12,829.00","2,232"
521,RFPL,"1,050.00",-3.49,"1,066.30",985.00,"1,066.30","137,728"
522,RHGCL,511.00,1.79,522.00,488.10,500.00,"54,007"
523,RHPL,481.50,0.35,527.00,471.00,471.00,"413,420"
524,RIDI,242.00,-1.43,247.50,240.00,245.00,"114,892"
525,RLFL,654.00,-3.13,680.00,652.00,671.00,"80,321"
526,RMF1,9.47,0.74,9.47,9.10,9.22,"11,150"
527,RMF2,9.68,-0.21,9.68,9.66,9.66,450
528,RNLI,521.00,-0.38,526.50,518.00,518.00,"54,710"
529,RSDC,735.00,0.68,741.00,725.00,730.00,"10,136"
530,RURU,740.00,-0.67,758.00,731.00,745.00,"10,388"
531,SADBL,447.30,-1.04,461.00,445.00,459.90,"133,406"
532,SAEF,11.24,-0.27,11.39,11.24,11.39,"398,455"
533,SAGF,10.00,0,10.00,10.00,10.00,"1,700"
534,SAHAS,501.00,-2.34,514.00,500.10,508.10,"102,587"
535,SALICO,729.00,1.25,748.00,719.00,734.40,"14,339"
536,SAMAJ,"3,406.00",-3.27,"3,500.00","3,391.00","3,451.00","1,107"
537,SANIMA,313.80,-0.85,317.00,310.20,310.20,"99,424"
538,SAPDBL,"1,069.90",-0.94,"1,105.00","1,060.00","1,097.00","69,950"
539,SARBTM,750.90,-2.86,788.00,750.90,788.00,"39,248"
540,SBCF,9.59,-0.1,9.70,9.41,9.41,"10,350"
541,SBD87,"1,035.00",-0.32,"1,035.00","1,026.50","1,026.50",35
542,SBI,460.50,-0.54,470.90,458.70,470.90,"42,783"
543,SBIBD86,"1,085.00",-3.12,"1,101.00","1,085.00","1,101.00",100
544,SBL,320.00,-1.23,323.90,317.00,323.90,"46,163"
545,SBLD2082,"1,080.00",0.28,"1,080.00","1,076.00","1,076.20",950
546,SBLD84,"1,032.20",-1.13,"1,032.20","1,032.20","1,032.20",10
547,SCB,650.50,-1.44,658.90,650.00,654.00,"34,860"
548,SCBD,"1,120.00",0.09,"1,120.00","1,120.00","1,120.00",15
549,SEF,9.87,-0.9,9.87,9.78,9.80,"5,800"
550,SFCL,740.00,-2.52,774.20,737.20,774.20,"77,447"
551,SFEF,9.40,-1.26,9.40,9.37,9.37,400
552,SFMF,10.39,-1.42,10.39,10.38,10.38,"1,600"
553,SGHC,465.00,-2.11,477.00,462.20,477.00,"52,924"
554,SGIC,701.00,-1.54,713.00,700.00,707.10,"63,236"
555,SHEL,257.10,-2.58,264.00,257.00,263.00,"177,529"
556,SHINE,468.90,-2.31,480.00,468.20,472.00,"61,479"
557,SHIVM,569.00,-0.7,580.00,565.00,573.20,"92,347"
558,SHL,505.10,-3.29,520.90,494.90,516.00,"68,151"
559,SHLB,"2,490.00",-0.36,"2,520.00","2,450.10","2,509.00","2,816"
560,SHPC,552.00,-2.97,580.00,550.00,557.60,"158,111"
561,SICL,819.80,-2.29,838.00,818.00,834.00,"14,409"
562,SIFC,651.00,-2.3,671.00,650.10,660.00,"48,652"
563,SIGS2,9.83,-1.5,10.00,9.79,9.79,"11,400"
564,SIGS3,10.04,2.45,10.07,9.71,9.71,"66,500"
565,SIKLES,798.90,-2.1,815.00,785.00,815.00,"16,336"
566,SINDU,970.00,-1.02,995.00,965.00,966.00,"37,559"
567,SJCL,377.50,0.13,380.30,369.60,369.60,"53,276"
568,SJLIC,509.00,0.59,516.10,506.40,516.10,"128,705"
569,SKBBL,933.20,-1.14,945.00,932.30,935.60,"11,486"
570,SLBBL,979.00,0.94,979.00,959.00,959.00,"12,862"
571,SLBSL,"1,905.00",5.83,"1,908.00","1,690.00","1,764.00","10,178"
572,SLCF,9.85,0.41,9.90,9.78,9.79,"24,410"
573,SMATA,884.00,-0.67,891.00,876.10,890.00,"3,233"
574,SMB,"2,850.00",-8.37,"3,048.20","2,805.10","3,048.20","4,467"
575,SMFBS,"2,205.00",-4.93,"2,386.00","2,205.00","2,295.00","17,708"
576,SMH,"1,084.00",-0.27,"1,119.00","1,065.20","1,108.00","2,610"
577,SMHL,"1,149.00",9.95,"1,149.00","1,027.00","1,065.90","53,891"
578,SMJC,558.90,-0.9,570.20,553.00,564.00,"23,301"
579,SMPDA,"1,032.00",-3.55,"1,091.00","1,025.00","1,048.60","21,633"
580,SNLI,660.00,-0.47,676.30,655.20,676.30,"73,333"
581,SONA,466.00,-1.56,482.00,466.00,482.00,"40,102"
582,SPC,537.10,-2.88,557.00,535.00,552.90,"38,565"
583,SPDL,326.00,-1.95,338.00,323.40,338.00,"175,429"
584,SPHL,791.00,1.93,791.00,770.00,787.90,"8,552"
585,SPIL,849.00,-1.27,877.00,835.00,864.00,"19,408"
586,SPL,990.00,1.02,999.60,963.00,999.60,"14,117"
587,SRLI,441.80,-0.7,449.80,439.00,444.00,"42,365"
588,SSHL,253.60,1.48,260.00,245.00,245.00,"364,502"
589,STC,"5,923.00",-1.28,"6,030.00","5,801.10","6,000.00","4,077"
590,SWBBL,899.90,-1.11,900.00,885.00,895.00,"6,478"
591,SWMF,807.00,-0.86,819.70,802.40,819.70,"2,810"
592,TAMOR,566.50,5.49,582.00,533.00,538.00,"241,571"
593,TPC,563.50,-1.14,580.00,559.70,580.00,"57,740"
594,TRH,"1,170.00",-6.1,"1,228.00","1,147.60","1,221.10","33,780"
595,TSHL,905.00,0.44,930.00,893.00,893.00,"15,559"
596,TVCL,512.00,-2.1,530.00,508.90,530.00,"25,956"
597,UAIL,658.00,-1.33,668.00,655.00,666.00,"14,479"
598,UHEWA,745.00,-2.42,760.00,727.00,750.00,"29,851"
599,ULBSL,"3,137.00",-1.08,"3,200.00","3,115.00","3,115.00","2,609"
600,ULHC,493.00,-3.33,515.00,491.00,510.00,"77,409"
601,UMHL,343.50,-3.24,362.00,343.00,355.00,"118,567"
602,UMRH,669.00,-0.59,683.00,660.10,673.00,"144,049"
603,UNHPL,302.50,-2.1,312.30,299.00,308.00,"78,478"
604,UNL,"46,167.00",-1.35,"46,500.00","46,165.00","46,500.00",60
605,UNLB,"2,502.10",-0.91,"2,570.00","2,491.20","2,526.00","3,589"
606,UPCL,296.10,-2.6,308.00,296.10,307.00,"192,414"
607,UPPER,215.60,-0.74,222.00,214.00,221.50,"234,261"
608,USHEC,607.00,-1.62,630.00,604.00,629.00,"32,239"
609,USHL,775.00,-1.15,784.90,770.00,770.00,"8,976"
610,USLB,"1,580.00",-2.17,"1,640.00","1,580.00","1,611.00","3,254"
611,VLBS,890.00,-1.11,918.00,885.00,900.00,"3,644"
612,VLUCL,697.00,2.5,721.00,680.00,680.00,"141,337"
613,WNLB,"2,669.00",1.87,"2,708.00","2,581.10","2,581.10","4,723"
